bowler,style
D Heyliger,Pace
JM Blatherwick,Pace
L Delany,Pace
Nasum Ahmed,Spin
EO Leonard,Pace
Azeem Rafiq,Spin
LJ Woodcock,Pace
SM Elliott,Pace
JA Clarkson,Pace
RM Farrell,Pace
Sadia Iqbal,Spin
CV Varun,Spin
EJ Carson,Pace
TC Smith,Pace
BJ Currie,Pace
Iftikhar Anjum,Pace
CA Henry,Pace
E Bisht,Spin
R MacDonald-Gay,Pace
GLS Scrimshaw,Pace
Aayan Afzal Khan,Spin
GA Garrett,Pace
KV Sharma,Spin
Jahanara Alam,Pace
DJM Moody,Pace
DJM Short,Pace
TJ Haines,Pace
AN Davidson-Richards,Pace
WA White,Pace
Salma Khatun,Spin
SB Keene,Pace
PM Pushpakumara,Spin
HR Walsh,Spin
WR Smith,Pace
CW Perchard,Spin
JJ Bazley,Pace
HH Streak,Pace
B Laughlin,Pace
A Carter,Pace
J Theron,Pace
BCJ Cutting,Pace
B White,Spin
MS Kasprowicz,Pace
RA Mair,Pace
Khurram Shahzad,Pace
DJ Wainwright,Pace
C Sutthiruang,Pace
Arafat Sunny,Spin
LJ Hatchett,Pace
LP Goldsworthy,Pace
AE Satterthwaite,Spin
AW Mathieson,Pace
DC Goodman,Pace
JE Poysden,Pace
AM Vaughan,Pace
Mohammad Nawaz (3),Pace
HE Jones,Pace
M Strano,Spin
CB Sole,Pace
D Madushanka,Pace
PKD Chase,Spin
LN Oluoch,Pace
Anwar Ali,Pace
NO Miller,Pace
KL George,Spin
J Nkomo,Pace
Farhan Ahmed,Spin
Azhar Mahmood,Pace
Jaskaran Singh,Pace
FA Allen,Pace
NE Farrant,Spin
ZN Gibson,Pace
KOK Williams,Pace
G Coetzee,Pace
S Joseph,Spin
NM Hancock,Pace
Rumana Ahmed,Spin
T Lungameni,Pace
HA Varaiya,Spin
AA Alleyne,Spin
MTC Waller,Pace
M Pathirana,Pace
DN Wellalage,Spin
NR Sciver-Brunt,Pace
RD Chahar,Spin
S Nadeem,Spin
C Murray,Spin
O Thomas,Pace
DS Thilakaratne,Spin
AC Evans,Pace
BF Smith,Pace
H Kaur,Spin
SI Mahmood,Pace
Qais Ahmad,Spin
VJ Kingma,Pace
G Potts,Pace
AJ Bichel,Pace
JA Turner,Pace
P Khadka,Pace
DM Nakrani,Pace
SL Bates,Spin
WK Dilhari,Spin
KK Cooper,Spin
Khizar Hayat,Spin
LF Higham,Spin
C Skelton,Pace
BD Schmulian,Spin
MJ Fisher,Spin
Nadeem Ahmed,Spin
BJ Small,Pace
BC Cullen,Spin
W Sahan,Pace
Tillakaratne Sampath,Pace
Amjad Mahboob,Pace
EA Burns,Pace
P Jayawickrama,Spin
AC Lenham,Pace
GM Andrew,Pace
BL Couch,Pace
IJR Zwilling,Pace
RR Emrit,Pace
KL Coppack,Pace
MW Pillans,Pace
DM Kimmince,Pace
JT Smuts,Pace
N Dutta,Spin
K Fraser,Spin
KK Jennings,Pace
T Putthawong,Pace
K Pierre,Spin
Imran Qayyum,Spin
NA Patel,Spin
DR Gibson,Pace
SC Ganguly,Pace
JPA Taylor,Pace
NM Odhiambo,Pace
TJG Pringle,Pace
Farhad Reza,Pace
H Masakadza,Pace
S Laomi,Spin
Kaleem Sana,Pace
CJ Boyce,Spin
Akash Deep,Pace
U Arshad,Pace
Anam Amin,Spin
KM Beams,Pace
TS Sekhukhune,Pace
SJ Johnson,Pace
Naeem Islam,Spin
Mosaddek Hossain,Spin
G Scrivens,Spin
DJ Bartlett,Pace
MG Booth,Spin
LB Williams,Pace
P Marange,Pace
GH Worker,Pace
BNJ Lockrose,Pace
Usman Shinwari,Pace
O Kamchomphu,Spin
SF Burger,Pace
Mohammad Nadeem,Pace
JW Hartshorn,Pace
CM Smith,Pace
M Gaur,Pace
JG Bethell,Pace
E Otieno,Pace
T Natarajan,Pace
BM Hope,Pace
TM Odoyo,Pace
RS Fernando,Pace
AM Blignaut,Pace
DJ Leech,Pace
SG Whittingham,Pace
BV Vitori,Pace
LM Jongwe,Pace
OU Ranasinghe,Pace
SSB Magala,Pace
D Gough,Pace
C de Lange,Pace
DJ Malan,Pace
A Phillip,Pace
C Bosch,Pace
Kabir Ali,Pace
KJS Elliott,Spin
JM Gibson,Spin
N Burger,Pace
DP Nannes,Pace
Aamir Kaleem,Spin
BJ McMullen,Spin
MJ Owen,Pace
RR Powar,Spin
CJ Dala,Pace
Rizwan Butt,Pace
KN Peiris,Spin
MA Chambers,Pace
GJ Delany,Pace
NK Patel,Spin
OF Smith,Pace
PC Graham,Pace
RS Patel,Spin
S Munro,Pace
H Thaker,Spin
Aizaz Cheema,Pace
DT Johnston,Pace
N Vimukthi,Spin
PA Franklin,Spin
Nahid Rana,Pace
GM Harris,Pace
Vraj Patel,Spin
K Moore,Pace
C Aweko,Pace
DM Dupavillon,Pace
Robiul Islam,Pace
M Brown,Pace
Janak Prakash,Pace
R Sai Kishore,Spin
L Tshuma,Pace
J Manley,Pace
MH Yardy,Pace
A Griffiths,Pace
CR Knott,Spin
SA Ahmad,Pace
PHT Kaushal,Spin
SC van Schalkwyk,Pace
LJ Wright,Pace
MP Siboto,Pace
CO Obuya,Spin
DS Hutchinson,Pace
IJL Trott,Pace
J Lewis,Pace
Sadia Yousuf,Spin
AJ Ireland,Pace
STR Binny,Spin
A Stonehouse,Pace
HR Huddleston,Spin
Virandeep Singh,Spin
Tanzim Hasan Sakib,Pace
PC de Silva,Spin
A Daniel,Spin
K Santokie,Pace
Khaled Mahmud,Pace
TN Walallawita,Spin
RPN Priyadarshana,Spin
Mudassar Bukhari,Pace
P Cleary,Pace
ND Laegsgaard,Pace
Tanwir Afzal,Pace
R Frylinck,Pace
S Muthusamy,Spin
ND Dattani,Pace
KP Pietersen,Pace
G Hoey,Pace
P Subrayen,Spin
Basil Hameed,Spin
SP Gauchan,Spin
EL Lamb,Pace
TA Lammonby,Pace
Yasim Murtaza,Spin
N Thushara,Pace
Rishad Hossain,Spin
CJ Chibhabha,Pace
A Javid,Spin
RA Jones,Spin
BA Langston,Pace
R Hadley,Pace
DMK Grant,Spin
A Sakande,Pace
RMMP Rathnayake,Spin
ME Hobden,Pace
Asmavia Iqbal,Spin
SR Thompson,Pace
RR Patel,Spin
A Verma,Pace
L Cheatle,Pace
Mukesh Kumar,Pace
ER Oza,Spin
MLL Taylor,Pace
Iftikhar Ahmed,Spin
S Baker,Pace
UDU Chandana,Spin
V Viyaskanth,Spin
VM Nyauchi,Pace
F Hand,Pace
HMCM Bandara,Spin
LW Feldman,Pace
Aamer Jamal,Pace
Soumya Sarkar,Pace
A Mithun,Pace
R Bhatia,Pace
PJ Ongondo,Pace
PW Borren,Pace
MD Hunn,Pace
DR Mousley,Pace
Nazmul Islam,Spin
SW Masakadza,Pace
RI Walker,Pace
FL Walker,Pace
RJ Sayer,Pace
R Slater,Pace
PWS Dulshan,Pace
MJ North,Pace
Tapash Baisya,Pace
TE Kane,Pace
S Tippoch,Spin
TH Aspinwall,Pace
DC Drakes,Pace
F Singh,Spin
LC Sthalekar,Spin
M Dillon,Pace
Kamrul Islam Rabbi,Pace
CL McClure,Spin
Imran Anwar,Pace
J Sumerauer,Pace
Aqib Ilyas,Spin
HWR Cartwright,Pace
N Sibanda,Pace
N Deonarine,Spin
GJ McCarter,Pace
PA Chatterji,Spin
HL Ferling,Pace
GC Smith,Pace
RP Burl,Spin
A Nao,Pace
Rumman Raees,Pace
M Daniels,Pace
Hamza Tahir,Spin
AR Cusack,Pace
Mohammed Nadeem,Spin
RM Phillips,Pace
MNM Aslam,Pace
TU Deshpande,Pace
JA Raval,Pace
MADI Hemantha,Spin
HT Tector,Pace
PK Matautaava,Pace
HJ Darlington,Pace
Shakeel Ahmed,Spin
Zaman Khan,Pace
W Mwatile,Pace
Codi Yusuf,Pace
MT Renshaw,Pace
Abdul Majid Abbasi,Pace
CD Nash,Pace
EAJ Richardson,Pace
AV Lalcheta,Spin
M Ashwin,Spin
JF Mooney,Pace
